nivel,p3_1,p4,edad,p32,p34_4,p34_4_1,factor
3,2,0,51,1,1,2,7875
6,2,0,41,0,1,1,7875
3,2,0,55,1,2,0,23626
7,1,2,34,0,1,2,15751
3,2,0,43,3,2,0,31986
7,2,0,21,2,2,0,23990
6,2,0,44,3,1,1,31446
8,1,2,38,0,1,2,20965
7,1,5,19,0,1,2,20965
7,1,5,22,0,1,1,31446
4,1,1,31,0,1,1,7825
2,2,0,60,3,2,0,15649
7,1,2,37,0,1,2,15649
7,2,0,24,3,1,1,31298
7,1,3,24,0,1,2,40796
7,2,0,26,1,1,2,20398
7,1,1,58,0,1,1,30597
7,1,7,21,0,1,2,40796
2,1,1,62,0,2,0,16666
3,2,0,56,3,2,0,8333
2,0,0,76,0,0,0,8333
7,2,0,25,3,1,1,16666
7,1,2,53,0,1,2,16811
7,2,0,48,3,1,5,16811
7,2,0,51,3,2,0,16811
7,2,0,20,3,1,1,16811
3,1,1,65,0,2,0,9783
3,2,0,51,1,2,0,48911
7,2,0,24,0,1,1,32241
7,2,0,40,1,2,0,24181
3,1,1,51,0,2,0,24181
3,1,1,62,0,2,0,16121
6,1,2,52,0,2,0,20535
7,1,4,18,0,2,0,27380
3,1,1,70,0,3,0,13142
7,1,5,64,0,1,1,19713
4,1,2,38,0,1,1,13691
2,2,0,83,2,2,0,20535
4,2,0,65,0,2,0,18022
3,2,0,41,0,2,0,18022
2,2,0,51,1,2,0,27033
4,2,0,52,0,2,0,33813
4,2,0,60,0,2,0,8453
4,2,0,30,0,2,0,25360
4,2,0,25,0,1,2,16907
4,1,1,31,0,1,2,7678
2,2,0,37,0,2,0,15357
4,2,0,25,0,1,2,15357
3,2,0,37,1,2,0,15357
7,1,1,65,0,1,1,11300
6,2,0,56,0,1,2,22599
6,2,0,70,0,1,1,5650
6,1,3,57,0,1,5,22599
7,2,0,20,0,2,0,34830
3,2,0,41,0,2,0,6966
7,2,0,35,0,2,0,13932
3,2,0,38,3,2,0,20898
4,2,0,48,0,1,1,22276
4,1,2,53,0,1,2,22276
7,2,0,40,3,2,0,15118
4,2,0,64,3,2,0,30235
3,1,1,60,0,2,0,37794
7,2,0,40,0,1,1,7425
7,2,0,64,1,2,0,22677
7,2,0,53,0,1,2,7503
3,2,0,46,0,2,0,15005
4,1,1,58,0,2,0,22509
7,2,0,50,0,1,1,8895
4,2,0,44,1,1,1,8895
3,0,0,34,0,0,0,8895
4,1,8,25,0,1,2,15951
7,2,0,62,0,2,0,7976
7,1,5,36,0,1,2,15951
4,1,2,39,0,1,1,23926
3,2,0,58,0,2,0,23972
4,2,0,56,1,3,0,7991
4,2,0,40,0,2,0,15982
4,2,0,48,3,2,0,7991
7,2,0,55,0,1,2,25436
8,2,0,48,1,1,1,16957
7,2,0,28,0,1,3,8479
7,1,2,44,0,1,3,16957
7,1,2,41,0,1,4,14248
7,2,0,45,0,1,3,14248
8,2,0,47,0,1,4,14248
7,2,0,54,0,2,0,30350
4,2,0,32,0,2,0,10116
6,2,0,65,3,2,0,20233
4,1,2,46,0,1,2,10116
7,2,0,26,0,1,1,33762
7,2,0,24,0,2,0,45015
2,1,1,75,0,2,0,22508
7,1,2,26,0,1,2,33762
4,2,0,35,0,2,0,22244
2,2,0,33,0,1,1,14829
3,2,0,54,0,1,1,14829
2,2,0,65,0,2,0,22244
2,2,0,46,0,2,0,20991
7,1,6,39,0,1,4,20991
4,2,0,70,1,2,0,31486
0,0,0,83,0,0,0,20991
2,0,0,62,0,0,0,68483
4,2,0,61,3,1,1,9784
4,2,0,38,0,1,2,29350
6,2,0,53,0,1,2,19566
4,1,6,26,0,1,1,27524
4,2,0,58,1,2,0,6881
3,2,0,55,1,2,0,13762
2,2,0,92,5,2,0,34405
7,1,1,36,0,1,3,23271
7,1,2,29,0,1,4,23271
7,1,2,59,0,1,3,34907
4,1,2,59,0,1,1,21698
4,2,0,31,0,1,6,21698
7,1,1,35,0,1,1,43396
4,1,2,44,0,1,1,32547
7,1,3,36,0,1,2,29660
7,1,4,29,0,1,3,14830
7,2,0,57,1,2,0,14830
7,2,0,61,0,2,0,22245
7,1,1,61,0,3,0,11166
2,1,1,77,0,3,0,5584
3,1,1,38,0,1,1,11166
3,2,0,63,0,1,1,5584
2,2,0,76,5,1,2,10612
6,1,6,74,0,1,4,10612
2,2,0,88,5,1,2,10612
4,1,2,56,0,1,2,10612
6,2,0,53,0,1,2,15229
8,1,1,48,0,1,3,15229
6,2,0,53,3,1,1,15229
7,2,0,54,0,1,2,7615
7,2,0,79,0,2,0,23407
8,2,0,77,3,2,0,11703
2,2,0,79,0,1,2,11703
4,2,0,46,0,2,0,11703
7,1,2,66,0,2,0,34652
4,2,0,38,0,1,2,25989
2,2,0,67,2,2,0,25989
3,2,0,44,0,1,3,14831
4,2,0,36,3,1,1,29662
4,2,0,30,0,1,1,37077
6,1,5,57,0,1,3,22246
3,2,0,69,0,1,1,17624
7,1,4,33,0,1,3,11715
2,2,0,68,3,2,0,11715
3,1,1,28,0,1,1,26436
