,nivel,p31,p4,p34_4,p34_4_1,p3_1
848,4.0,1.0,3.0,1.0,3.0,1.0
850,7.0,2.0,1.0,1.0,1.0,1.0
856,7.0,2.0,2.0,1.0,3.0,1.0
857,7.0,1.0,20.0,1.0,3.0,1.0
859,4.0,1.0,1.0,1.0,1.0,1.0
860,7.0,1.0,7.0,1.0,1.0,1.0
861,7.0,2.0,3.0,1.0,1.0,1.0
869,4.0,2.0,3.0,1.0,1.0,1.0
872,3.0,1.0,3.0,1.0,1.0,1.0
874,3.0,2.0,1.0,1.0,2.0,1.0
880,2.0,2.0,1.0,1.0,1.0,1.0
884,4.0,1.0,2.0,1.0,1.0,1.0
888,6.0,1.0,4.0,1.0,1.0,1.0
889,3.0,2.0,1.0,1.0,2.0,1.0
903,3.0,1.0,1.0,1.0,1.0,1.0
905,4.0,1.0,1.0,1.0,1.0,1.0
912,7.0,1.0,3.0,1.0,1.0,1.0
916,4.0,1.0,5.0,1.0,1.0,1.0
918,3.0,2.0,1.0,1.0,1.0,1.0
919,8.0,2.0,1.0,1.0,1.0,1.0
921,2.0,1.0,2.0,1.0,1.0,1.0
923,6.0,1.0,3.0,1.0,1.0,1.0
928,7.0,2.0,4.0,1.0,1.0,1.0
929,4.0,1.0,1.0,1.0,1.0,1.0
931,4.0,1.0,1.0,1.0,3.0,1.0
935,7.0,1.0,15.0,1.0,2.0,1.0
937,7.0,1.0,2.0,1.0,5.0,1.0
938,7.0,1.0,2.0,1.0,2.0,1.0
940,7.0,1.0,2.0,1.0,3.0,1.0
941,4.0,2.0,3.0,1.0,2.0,1.0
943,7.0,1.0,8.0,1.0,2.0,1.0
945,7.0,1.0,2.0,1.0,1.0,1.0
946,7.0,1.0,5.0,1.0,1.0,1.0
947,7.0,1.0,2.0,1.0,1.0,1.0
948,7.0,2.0,1.0,1.0,1.0,1.0
952,7.0,1.0,6.0,1.0,3.0,1.0
954,6.0,2.0,2.0,1.0,1.0,1.0
963,7.0,2.0,6.0,1.0,1.0,1.0
